Timestamp,Customer Type,Department,Ticket ID,Windows,Status
"5/14/2026, 4:17:26 PM","Regular","NATIONAL","NID-R-005","","WAITING"
"5/14/2026, 4:17:25 PM","Regular","NATIONAL","NID-R-004","","WAITING"
"5/14/2026, 4:17:23 PM","Priority","NATIONAL","NID-P-003","","WAITING"
"5/14/2026, 4:17:20 PM","Priority","CIVIL","CR-P-005","","WAITING"
"5/14/2026, 4:17:17 PM","Regular","NATIONAL","NID-R-002","","WAITING"
"5/14/2026, 4:17:16 PM","Regular","CIVIL","CR-R-004","","WAITING"
"5/14/2026, 4:17:14 PM","Regular","CIVIL","CR-R-003","","WAITING"
"5/14/2026, 4:17:13 PM","Priority","CIVIL","CR-P-002","","WAITING"
"5/14/2026, 4:17:11 PM","Regular","CIVIL","CR-R-001","","WAITING"
"5/14/2026, 4:17:02 PM","Regular","NATIONAL","NID-R-001","","WAITING"
